,symbol,exchangeShortName,type
217,KMB,NYSE,stock
218,AEP,NYSE,stock
219,IT,NYSE,stock
220,CAT,NYSE,stock
221,AU,NYSE,stock
222,XRAY,NASDAQ,stock
223,KKR,NYSE,stock
224,CMC,NYSE,stock
225,TMUS,NASDAQ,stock
226,NRG,NYSE,stock
227,CPB,NYSE,stock
228,ATHM,NYSE,stock
229,WRB,NYSE,stock
230,MOMO,NASDAQ,stock
231,TGT,NYSE,stock
232,TV,NYSE,stock
233,GLW,NYSE,stock
234,MAS,NYSE,stock
235,DOV,NYSE,stock
236,HRL,NYSE,stock
237,TECK,NYSE,stock
238,AES,NYSE,stock
239,PPL,NYSE,stock
240,SEE,NYSE,stock
241,FRC,NYSE,stock
242,STX,NASDAQ,stock
243,ADBE,NASDAQ,stock
244,K,NYSE,stock
245,M,NYSE,stock
246,TSLA,NASDAQ,stock
247,TSM,NYSE,stock
248,STL,NYSE,stock
249,NYCB,NYSE,stock
250,TRQ,NYSE,stock
251,BAH,NYSE,stock
252,MET,NYSE,stock
253,AFL,NYSE,stock
254,TPR,NYSE,stock
255,WPM,NYSE,stock
256,LNT,NASDAQ,stock
257,WLL,NYSE,stock
258,LKQ,NASDAQ,stock
259,PCG,NYSE,stock
260,CENX,NASDAQ,stock
261,CLR,NYSE,stock
262,IMGN,NASDAQ,stock
263,HL,NYSE,stock
264,LULU,NASDAQ,stock
265,UAA,NYSE,stock
266,CAG,NYSE,stock
267,STLD,NASDAQ,stock
268,PEP,NASDAQ,stock
269,SO,NYSE,stock
270,COST,NASDAQ,stock
271,GKOS,NYSE,stock
272,ZTO,NYSE,stock
273,GS,NYSE,stock
274,ADT,NYSE,stock
275,ALTR,NASDAQ,stock
276,EMR,NYSE,stock
277,CNP,NYSE,stock
278,ALXN,NASDAQ,stock
279,COTY,NYSE,stock
280,MA,NYSE,stock
281,AWI,NYSE,stock
282,ADP,NASDAQ,stock
283,BBVA,NYSE,stock
284,MNST,NASDAQ,stock
285,AER,NYSE,stock
286,GTN,NYSE,stock
287,CDE,NYSE,stock
288,NCR,NYSE,stock
289,PSTG,NYSE,stock
290,SJM,NYSE,stock
291,ETN,NYSE,stock
292,DUK,NYSE,stock
293,CL,NYSE,stock
294,IDRA,NASDAQ,stock
295,KAR,NYSE,stock
296,NEE,NYSE,stock
297,PXD,NYSE,stock
298,ADM,NYSE,stock
299,VMW,NYSE,stock
300,RIGL,NASDAQ,stock
301,DKS,NYSE,stock
302,WTI,NYSE,stock
303,LRCX,NASDAQ,stock
304,NXPI,NASDAQ,stock
305,CE,NYSE,stock
306,HUN,NYSE,stock
307,CSTM,NYSE,stock
308,GPK,NYSE,stock
309,TJX,NYSE,stock
310,KSS,NYSE,stock
